IDBUQUE;IDLOCALIZADOR;IdPosicion;FcIval;FcFval;Geom;Rumbo;Velocidad;Suceso;IdZonaPortuaria;Latitud;Longitud;Año;Mes
43613;4789;237098219;2022-09-13 07:01:00.0010000;2022-09-13 09:01:00.0000000;0xE6100000010CF9FFFF5FF2CB30C0000000A07F233C40;334;9,6;0;NULL;28,1386661529541;-16,796667098999;2022;9
43613;4789;237103572;2022-09-13 11:01:00.0010000;2022-09-13 13:01:00.0000000;0xE6100000010C09000080AFF930C0020000E051383C40;328;5,2;0;NULL;28,2199993133545;-16,9753341674805;2022;9
43613;4789;237106257;2022-09-13 13:01:00.0010000;2022-09-13 15:02:00.0000000;0xE6100000010C070000A0D53131C0FEFFFF7F4E5B3C40;257;6,8;0;NULL;28,3566665649414;-17,1946659088135;2022;9
43613;4789;237109231;2022-09-13 15:02:00.0010000;2022-09-13 17:01:00.0000000;0xE6100000010C0D000040536A31C007000000564E3C40;243;7,4;0;NULL;28,3059997558594;-17,4153327941895;2022;9
43613;4789;237111763;2022-09-13 17:01:00.0010000;2022-09-13 19:01:00.0000000;0xE6100000010CFBFFFF7F939831C0010000C0C8363C40;182;2,2;0;NULL;28,2140007019043;-17,5960006713867;2022;9
43613;4789;237114141;2022-09-13 19:01:00.0010000;2022-09-13 21:01:00.0000000;0xE6100000010C0B000000F19931C004000060E3253C40;174;2,2;0;NULL;28,1480007171631;-17,6013336181641;2022;9
43613;4789;237116438;2022-09-13 21:01:00.0010000;2022-09-13 23:02:00.0000000;0xE6100000010CF4FFFFDF359731C0FDFFFF5F55153C40;149;2;0;NULL;28,0833339691162;-17,5906658172607;2022;9
43613;4789;237118796;2022-09-13 23:02:00.0010000;2022-09-14 01:01:00.0000000;0xE6100000010C08000020879631C0F9FFFF5FF20B3C40;186;1,2;0;NULL;28,046667098999;-17,5879993438721;2022;9
43613;4789;237122434;2022-09-14 01:01:00.0010000;2022-09-14 03:02:00.0000000;0xE6100000010CF4FFFFDF359731C0F9FFFF5F12033C40;149;1;0;NULL;28,011999130249;-17,5906658172607;2022;9
43613;4789;237125041;2022-09-14 03:02:00.0010000;2022-09-14 05:01:00.0000000;0xE6100000010C03000040D29431C0020000E031013C40;84;0,4;0;NULL;28,0046672821045;-17,5813331604004;2022;9
43613;4789;237127959;2022-09-14 05:01:00.0010000;9999-12-31 00:00:00.0000000;0xE6100000010CF6FFFFBFF79331C0F4FFFF7F25FF3B40;139;0,8;0;NULL;27,9966659545898;-17,5779991149902;2022;9
43613;4789;237130618;2022-09-14 07:01:00.0010000;2022-09-14 09:02:00.0000000;0xE6100000010CF1FFFF9F0B8931C00B00006001F23B40;160;2,8;0;NULL;27,945333480835;-17,5353336334228;2022;9
43613;4789;237133251;2022-09-14 09:02:00.0010000;2022-09-14 11:01:00.0000000;0xE6100000010CF3FFFFBFCC8C31C0FCFFFFFF44FD3B40;326;1,6;0;NULL;27,9893341064453;-17,5499992370605;2022;9
43613;4789;237135980;2022-09-14 11:01:00.0010000;2022-09-14 13:02:00.0000000;0xE6100000010CFFFFFF3FA78D31C0FBFFFF7FB30F3C40;183;2,6;0;NULL;28,0613327026367;-17,5533332824707;2022;9
